date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref,league
2024-03-10T16:30:00Z,25,frankfurt,hoffenheim,3,1,1,1,2,frankfurt,hoffenheim,bastian dankert,Bundesliga
2024-03-10T18:30:00Z,25,leverkusen,wolfsburg,2,0,1,0,2,leverkusen,wolfsburg,daniel siebert,Bundesliga
2024-03-15T19:30:00Z,26,1. fc köln,rb leipzig,1,5,1,1,4,rb leipzig,1. fc köln,florian badstübner,Bundesliga
2024-03-16T14:30:00Z,26,darmstadt,bayern,2,5,1,2,3,bayern,darmstadt,tobias reichel,Bundesliga
2024-03-16T14:30:00Z,26,heidenheim,m'gladbach,1,1,0,1,0,draw,draw,martin petersen,Bundesliga
2024-03-16T14:30:00Z,26,union berlin,bremen,2,1,0,0,1,union berlin,bremen,daniel schlager,Bundesliga
2024-03-16T14:30:00Z,26,mainz,bochum,2,0,1,0,2,mainz,bochum,matthias jöllenbeck,Bundesliga
2024-03-16T14:30:00Z,26,wolfsburg,augsburg,1,3,1,1,2,augsburg,wolfsburg,timo gerach,Bundesliga
2024-03-16T17:30:00Z,26,hoffenheim,stuttgart,0,3,0,2,3,stuttgart,hoffenheim,sascha stegemann,Bundesliga
2024-03-17T14:30:00Z,26,freiburg,leverkusen,2,3,1,2,1,leverkusen,freiburg,harm osmers,Bundesliga
2024-03-17T16:30:00Z,26,dortmund,frankfurt,3,1,1,1,2,dortmund,frankfurt,tobias stieler,Bundesliga
2024-03-30T14:30:00Z,27,frankfurt,union berlin,0,0,0,0,0,draw,draw,marco fritz,Bundesliga
2024-03-30T14:30:00Z,27,m'gladbach,freiburg,0,3,0,1,3,freiburg,m'gladbach,christian dingert,Bundesliga
2024-03-30T14:30:00Z,27,bremen,wolfsburg,0,2,0,1,2,wolfsburg,bremen,sascha stegemann,Bundesliga
2024-03-30T14:30:00Z,27,rb leipzig,mainz,0,0,0,0,0,draw,draw,frank willenborg,Bundesliga
2024-03-30T14:30:00Z,27,leverkusen,hoffenheim,2,1,0,1,1,leverkusen,hoffenheim,deniz aytekin,Bundesliga
2024-03-30T17:30:00Z,27,bayern,dortmund,0,2,0,1,2,dortmund,bayern,harm osmers,Bundesliga
2024-03-31T13:30:00Z,27,augsburg,1. fc köln,1,1,1,1,0,draw,draw,sören storks,Bundesliga
2024-03-31T15:30:00Z,27,stuttgart,heidenheim,3,3,1,0,0,draw,draw,felix zwayer,Bundesliga
2024-03-31T17:30:00Z,27,bochum,darmstadt,2,2,1,0,0,draw,draw,sven jablonski,Bundesliga
2024-04-05T18:30:00Z,28,frankfurt,bremen,1,1,0,0,0,draw,draw,robert hartmann,Bundesliga
2024-04-06T13:30:00Z,28,heidenheim,bayern,3,2,0,2,1,heidenheim,bayern,robert schröder,Bundesliga
2024-04-06T13:30:00Z,28,freiburg,rb leipzig,1,4,0,3,3,rb leipzig,freiburg,daniel siebert,Bundesliga
2024-04-06T13:30:00Z,28,union berlin,leverkusen,0,1,0,1,1,leverkusen,union berlin,benjamin brand,Bundesliga
2024-04-06T13:30:00Z,28,1. fc köln,bochum,2,1,0,0,1,1. fc köln,bochum,tobias welz,Bundesliga
2024-04-06T13:30:00Z,28,mainz,darmstadt,4,0,1,0,4,mainz,darmstadt,daniel schlager,Bundesliga
2024-04-06T16:30:00Z,28,dortmund,stuttgart,0,1,0,0,1,stuttgart,dortmund,matthias jöllenbeck,Bundesliga
2024-04-07T13:30:00Z,28,hoffenheim,augsburg,3,1,2,0,2,hoffenheim,augsburg,florian exner,Bundesliga
2024-04-07T15:30:00Z,28,wolfsburg,m'gladbach,1,3,1,0,2,m'gladbach,wolfsburg,bastian dankert,Bundesliga
2024-04-12T18:30:00Z,29,augsburg,union berlin,2,0,0,0,2,augsburg,union berlin,tobias stieler,Bundesliga
2024-04-13T13:30:00Z,29,m'gladbach,dortmund,1,2,1,2,1,dortmund,m'gladbach,florian badstübner,Bundesliga
2024-04-13T13:30:00Z,29,rb leipzig,wolfsburg,3,0,1,0,3,rb leipzig,wolfsburg,christian dingert,Bundesliga
2024-04-13T13:30:00Z,29,bayern,1. fc köln,2,0,0,0,2,bayern,1. fc köln,frank willenborg,Bundesliga
2024-04-13T13:30:00Z,29,mainz,hoffenheim,4,1,0,1,3,mainz,hoffenheim,felix zwayer,Bundesliga
2024-04-13T13:30:00Z,29,bochum,heidenheim,1,1,0,0,0,draw,draw,patrick ittrich,Bundesliga
2024-04-13T16:30:00Z,29,stuttgart,frankfurt,3,0,3,0,3,stuttgart,frankfurt,deniz aytekin,Bundesliga
2024-04-14T13:30:00Z,29,darmstadt,freiburg,0,1,0,1,1,freiburg,darmstadt,sascha stegemann,Bundesliga
2024-04-14T15:30:00Z,29,leverkusen,bremen,5,0,1,0,5,leverkusen,bremen,harm osmers,Bundesliga
2024-04-19T18:30:00Z,30,frankfurt,augsburg,3,1,0,1,2,frankfurt,augsburg,martin petersen,Bundesliga
2024-04-20T13:30:00Z,30,heidenheim,rb leipzig,1,2,0,1,1,rb leipzig,heidenheim,tobias welz,Bundesliga
2024-04-20T13:30:00Z,30,hoffenheim,m'gladbach,4,3,1,1,1,hoffenheim,m'gladbach,sören storks,Bundesliga
2024-04-20T13:30:00Z,30,wolfsburg,bochum,1,0,1,0,1,wolfsburg,bochum,tobias reichel,Bundesliga
2024-04-20T13:30:00Z,30,1. fc köln,darmstadt,0,2,0,0,2,darmstadt,1. fc köln,matthias jöllenbeck,Bundesliga
2024-04-20T16:30:00Z,30,union berlin,bayern,1,5,0,2,4,bayern,union berlin,sven jablonski,Bundesliga
2024-04-21T13:30:00Z,30,bremen,stuttgart,2,1,1,0,1,bremen,stuttgart,robert schröder,Bundesliga
2024-04-21T15:30:00Z,30,dortmund,leverkusen,1,1,0,0,0,draw,draw,daniel siebert,Bundesliga
2024-04-21T17:30:00Z,30,freiburg,mainz,1,1,1,1,0,draw,draw,marco fritz,Bundesliga
2024-04-26T18:30:00Z,31,bochum,hoffenheim,3,2,2,0,1,bochum,hoffenheim,tobias stieler,Bundesliga
2024-04-27T13:30:00Z,31,rb leipzig,dortmund,4,1,2,1,3,rb leipzig,dortmund,deniz aytekin,Bundesliga
2024-04-27T13:30:00Z,31,bayern,frankfurt,2,1,1,1,1,bayern,frankfurt,daniel schlager,Bundesliga
2024-04-27T13:30:00Z,31,freiburg,wolfsburg,1,2,1,0,1,wolfsburg,freiburg,frank willenborg,Bundesliga
2024-04-27T13:30:00Z,31,augsburg,bremen,0,3,0,0,3,bremen,augsburg,tobias welz,Bundesliga
2024-04-27T16:30:00Z,31,leverkusen,stuttgart,2,2,0,0,0,draw,draw,felix zwayer,Bundesliga
2024-04-28T13:30:00Z,31,m'gladbach,union berlin,0,0,0,0,0,draw,draw,sascha stegemann,Bundesliga
2024-04-28T15:30:00Z,31,mainz,1. fc köln,1,1,1,0,0,draw,draw,benjamin brand,Bundesliga
2024-04-28T17:30:00Z,31,darmstadt,heidenheim,0,1,0,0,1,heidenheim,darmstadt,bastian dankert,Bundesliga
2024-05-03T18:30:00Z,32,hoffenheim,rb leipzig,1,1,0,1,0,draw,draw,harm osmers,Bundesliga
2024-05-04T13:30:00Z,32,stuttgart,bayern,3,1,1,1,2,stuttgart,bayern,tobias welz,Bundesliga
2024-05-04T13:30:00Z,32,bremen,m'gladbach,2,2,1,1,0,draw,draw,timo gerach,Bundesliga
2024-05-04T13:30:00Z,32,dortmund,augsburg,5,1,4,1,4,dortmund,augsburg,robert schröder,Bundesliga
2024-05-04T13:30:00Z,32,wolfsburg,darmstadt,3,0,2,0,3,wolfsburg,darmstadt,robert hartmann,Bundesliga
2024-05-04T16:30:00Z,32,1. fc köln,freiburg,0,0,0,0,0,draw,draw,sören storks,Bundesliga
2024-05-05T13:30:00Z,32,union berlin,bochum,3,4,0,3,1,bochum,union berlin,marco fritz,Bundesliga
2024-05-05T15:30:00Z,32,frankfurt,leverkusen,1,5,1,2,4,leverkusen,frankfurt,christian dingert,Bundesliga
2024-05-05T17:30:00Z,32,heidenheim,mainz,1,1,0,1,0,draw,draw,sven jablonski,Bundesliga
2024-05-10T18:30:00Z,33,augsburg,stuttgart,0,1,0,0,1,stuttgart,augsburg,patrick ittrich,Bundesliga
2024-05-11T13:30:00Z,33,1. fc köln,union berlin,3,2,1,2,1,1. fc köln,union berlin,deniz aytekin,Bundesliga
2024-05-11T13:30:00Z,33,m'gladbach,frankfurt,1,1,1,1,0,draw,draw,robert schröder,Bundesliga
2024-05-11T13:30:00Z,33,rb leipzig,bremen,1,1,0,1,0,draw,draw,sascha stegemann,Bundesliga
2024-05-11T13:30:00Z,33,freiburg,heidenheim,1,1,1,1,0,draw,draw,daniel siebert,Bundesliga
2024-05-11T16:30:00Z,33,mainz,dortmund,3,0,3,0,3,mainz,dortmund,tobias stieler,Bundesliga
2024-05-12T13:30:00Z,33,darmstadt,hoffenheim,0,6,0,5,6,hoffenheim,darmstadt,florian badstübner,Bundesliga
2024-05-12T15:30:00Z,33,bayern,wolfsburg,2,0,2,0,2,bayern,wolfsburg,bastian dankert,Bundesliga
2024-05-12T17:30:00Z,33,bochum,leverkusen,0,5,0,2,5,leverkusen,bochum,benjamin brand,Bundesliga
2024-05-18T13:30:00Z,34,hoffenheim,bayern,4,2,1,2,2,hoffenheim,bayern,marco fritz,Bundesliga
2024-05-18T13:30:00Z,34,frankfurt,rb leipzig,2,2,0,1,0,draw,draw,felix zwayer,Bundesliga
2024-05-18T13:30:00Z,34,union berlin,freiburg,2,1,0,0,1,union berlin,freiburg,christian dingert,Bundesliga
2024-05-18T13:30:00Z,34,wolfsburg,mainz,1,3,1,1,2,mainz,wolfsburg,frank willenborg,Bundesliga
2024-05-18T13:30:00Z,34,stuttgart,m'gladbach,4,0,2,0,4,stuttgart,m'gladbach,daniel schlager,Bundesliga
2024-05-18T13:30:00Z,34,heidenheim,1. fc köln,4,1,3,0,3,heidenheim,1. fc köln,tobias welz,Bundesliga
2024-05-18T13:30:00Z,34,bremen,bochum,4,1,1,0,3,bremen,bochum,martin petersen,Bundesliga
2024-05-18T13:30:00Z,34,leverkusen,augsburg,2,1,2,0,1,leverkusen,augsburg,matthias jöllenbeck,Bundesliga
2024-05-18T13:30:00Z,34,dortmund,darmstadt,4,0,2,0,4,dortmund,darmstadt,daniel siebert,Bundesliga
2023-08-11T17:30:00Z,1,almería,rayo vallecano,0,2,0,2,2,rayo vallecano,almería,javier alberola rojas,Laliga
2023-08-11T20:00:00Z,1,sevilla fc,valencia,1,2,0,0,1,valencia,sevilla fc,josé sánchez martínez,Laliga
2023-08-12T15:00:00Z,1,real sociedad,girona,1,1,1,0,0,draw,draw,francisco hernández maeso,Laliga
2023-08-12T17:30:00Z,1,las palmas,mallorca,1,1,1,0,0,draw,draw,víctor garcía verdura,Laliga
2023-08-12T19:30:00Z,1,athletic,real madrid,0,2,0,2,2,real madrid,athletic,jesús gil manzano,Laliga
2023-08-13T15:00:00Z,1,celta,osasuna,0,2,0,1,2,osasuna,celta,pablo gonzález fuertes,Laliga
2023-08-13T17:30:00Z,1,villarreal,real betis,1,2,0,1,1,real betis,villarreal,miguel ortiz arias,Laliga
2023-08-13T19:30:00Z,1,getafe,barça,0,0,0,0,0,draw,draw,césar soto grado,Laliga
2023-08-14T17:30:00Z,1,cádiz cf,alavés,1,0,1,0,1,cádiz cf,alavés,isidro díaz de mera,Laliga
2023-08-14T19:30:00Z,1,atleti,granada,3,1,1,0,2,atleti,granada,juan pulido santana,Laliga
2023-08-18T17:30:00Z,2,mallorca,villarreal,0,1,0,0,1,villarreal,mallorca,javier alberola rojas,Laliga
2023-08-18T19:30:00Z,2,valencia,las palmas,1,0,0,0,1,valencia,las palmas,javier iglesias villanueva,Laliga
2023-08-19T15:00:00Z,2,real sociedad,celta,1,1,1,0,0,draw,draw,miguel ortiz arias,Laliga
2023-08-19T17:30:00Z,2,almería,real madrid,1,3,1,1,2,real madrid,almería,josé sánchez martínez,Laliga
2023-08-19T19:30:00Z,2,osasuna,athletic,0,2,0,2,2,athletic,osasuna,josé munuera montero,Laliga
2023-08-20T17:00:00Z,2,girona,getafe,3,0,1,0,3,girona,getafe,jorge figueroa vázquez,Laliga
2023-08-20T17:30:00Z,2,barça,cádiz cf,2,0,0,0,2,barça,cádiz cf,alejandro muñiz ruiz,Laliga
2023-08-20T19:30:00Z,2,real betis,atleti,0,0,0,0,0,draw,draw,ricardo de burgos,Laliga
2023-08-21T17:00:00Z,2,alavés,sevilla fc,4,3,2,2,1,alavés,sevilla fc,guillermo cuadra fernández,Laliga
2023-08-21T19:30:00Z,2,granada,rayo vallecano,0,2,0,0,2,rayo vallecano,granada,pablo gonzález fuertes,Laliga
2023-08-25T17:30:00Z,3,las palmas,real sociedad,0,0,0,0,0,draw,draw,guillermo cuadra fernández,Laliga
2023-08-25T19:30:00Z,3,celta,real madrid,0,1,0,0,1,real madrid,celta,isidro díaz de mera,Laliga
2023-08-26T17:00:00Z,3,cádiz cf,almería,1,1,0,0,0,draw,draw,víctor garcía verdura,Laliga
2023-08-26T17:30:00Z,3,granada,mallorca,3,2,1,1,1,granada,mallorca,francisco hernández maeso,Laliga
2023-08-26T19:30:00Z,3,sevilla fc,girona,1,2,1,1,1,girona,sevilla fc,jesús gil manzano,Laliga
2023-08-27T15:30:00Z,3,villarreal,barça,3,4,2,2,1,barça,villarreal,alejandro hernández hernández,Laliga
2023-08-27T17:30:00Z,3,valencia,osasuna,1,2,0,1,1,osasuna,valencia,juan pulido santana,Laliga
2023-08-27T19:30:00Z,3,athletic,real betis,4,2,3,2,2,athletic,real betis,césar soto grado,Laliga
2023-08-28T17:30:00Z,3,getafe,alavés,1,0,0,0,1,getafe,alavés,juan martínez munuera,Laliga
2023-08-28T19:30:00Z,3,rayo vallecano,atleti,0,7,0,3,7,atleti,rayo vallecano,josé munuera montero,Laliga
2023-09-01T17:30:00Z,4,cádiz cf,villarreal,3,1,2,1,2,cádiz cf,villarreal,juan pulido santana,Laliga
2023-09-01T20:00:00Z,4,almería,celta,2,3,0,2,1,celta,almería,ricardo de burgos,Laliga
2023-09-02T12:00:00Z,4,real sociedad,granada,5,3,2,1,2,real sociedad,granada,javier iglesias villanueva,Laliga
2023-09-02T14:15:00Z,4,real madrid,getafe,2,1,0,1,1,real madrid,getafe,mario melero lópez,Laliga
2023-09-02T16:30:00Z,4,alavés,valencia,1,0,1,0,1,alavés,valencia,pablo gonzález fuertes,Laliga
2023-09-02T19:00:00Z,4,real betis,rayo vallecano,1,0,0,0,1,real betis,rayo vallecano,alejandro muñiz ruiz,Laliga
2023-09-03T12:00:00Z,4,girona,las palmas,1,0,0,0,1,girona,las palmas,mateo busquets ferrer,Laliga
2023-09-03T14:15:00Z,4,mallorca,athletic,0,0,0,0,0,draw,draw,jorge figueroa vázquez,Laliga
2023-09-03T19:00:00Z,4,osasuna,barça,1,2,0,1,1,barça,osasuna,miguel ortiz arias,Laliga
2023-09-15T19:00:00Z,5,rayo vallecano,alavés,2,0,1,0,2,rayo vallecano,alavés,víctor garcía verdura,Laliga
2023-09-16T12:00:00Z,5,athletic,cádiz cf,3,0,0,0,3,athletic,cádiz cf,guillermo cuadra fernández,Laliga
2023-09-16T14:15:00Z,5,valencia,atleti,3,0,2,0,3,valencia,atleti,jesús gil manzano,Laliga
2023-09-16T16:30:00Z,5,celta,mallorca,0,1,0,0,1,mallorca,celta,josé munuera montero,Laliga
2023-09-16T19:00:00Z,5,barça,real betis,5,0,2,0,5,barça,real betis,josé sánchez martínez,Laliga
2023-09-17T12:00:00Z,5,getafe,osasuna,3,2,1,1,1,getafe,osasuna,alejandro hernández hernández,Laliga
2023-09-17T14:15:00Z,5,villarreal,almería,2,1,1,1,1,villarreal,almería,francisco hernández maeso,Laliga
2023-09-17T16:30:00Z,5,sevilla fc,las palmas,1,0,0,0,1,sevilla fc,las palmas,juan martínez munuera,Laliga
2023-09-17T19:00:00Z,5,real madrid,real sociedad,2,1,0,1,1,real madrid,real sociedad,césar soto grado,Laliga
2023-09-18T19:00:00Z,5,granada,girona,2,4,0,3,2,girona,granada,isidro díaz de mera,Laliga
2023-09-22T19:00:00Z,6,alavés,athletic,0,2,0,1,2,athletic,alavés,alejandro muñiz ruiz,Laliga
2023-09-23T12:00:00Z,6,girona,mallorca,5,3,4,1,2,girona,mallorca,pablo gonzález fuertes,Laliga
2023-09-23T14:15:00Z,6,osasuna,sevilla fc,0,0,0,0,0,draw,draw,javier iglesias villanueva,Laliga
2023-09-23T16:30:00Z,6,barça,celta,3,2,0,1,1,barça,celta,mario melero lópez,Laliga
2023-09-23T19:00:00Z,6,almería,valencia,2,2,0,1,0,draw,draw,mateo busquets ferrer,Laliga
2023-09-24T12:00:00Z,6,real sociedad,getafe,4,3,1,2,1,real sociedad,getafe,juan pulido santana,Laliga
2023-09-24T14:15:00Z,6,rayo vallecano,villarreal,1,1,1,1,0,draw,draw,jorge figueroa vázquez,Laliga
2023-09-24T16:30:00Z,6,las palmas,granada,1,0,0,0,1,las palmas,granada,ricardo de burgos,Laliga
2023-09-24T16:30:00Z,6,real betis,cádiz cf,1,1,0,1,0,draw,draw,miguel ortiz arias,Laliga
2023-09-24T19:00:00Z,6,atleti,real madrid,3,1,2,1,2,atleti,real madrid,javier alberola rojas,Laliga
2023-09-26T17:00:00Z,7,sevilla fc,almería,5,1,3,0,4,sevilla fc,almería,guillermo cuadra fernández,Laliga
2023-09-26T19:30:00Z,7,mallorca,barça,2,2,2,1,0,draw,draw,alejandro muñiz ruiz,Laliga
2023-09-27T17:00:00Z,7,athletic,getafe,2,2,1,0,0,draw,draw,isidro díaz de mera,Laliga
2023-09-27T17:00:00Z,7,villarreal,girona,1,2,0,0,1,girona,villarreal,josé sánchez martínez,Laliga
2023-09-27T17:00:00Z,7,real madrid,las palmas,2,0,1,0,2,real madrid,las palmas,josé munuera montero,Laliga
2023-09-27T19:30:00Z,7,cádiz cf,rayo vallecano,0,0,0,0,0,draw,draw,francisco hernández maeso,Laliga
2023-09-27T19:30:00Z,7,valencia,real sociedad,0,1,0,1,1,real sociedad,valencia,alejandro hernández hernández,Laliga
2023-09-28T17:00:00Z,7,celta,alavés,1,1,1,0,0,draw,draw,césar soto grado,Laliga
2023-09-28T17:00:00Z,7,granada,real betis,1,1,0,0,0,draw,draw,víctor garcía verdura,Laliga
2023-09-28T19:30:00Z,7,osasuna,atleti,0,2,0,1,2,atleti,osasuna,juan martínez munuera,Laliga
2023-09-29T19:00:00Z,8,barça,sevilla fc,1,0,0,0,1,barça,sevilla fc,miguel ortiz arias,Laliga
2023-09-30T12:00:00Z,8,getafe,villarreal,0,0,0,0,0,draw,draw,mateo busquets ferrer,Laliga
2023-09-30T14:15:00Z,8,rayo vallecano,mallorca,2,2,1,1,0,draw,draw,mario melero lópez,Laliga
2023-09-30T16:30:00Z,8,girona,real madrid,0,3,0,2,3,real madrid,girona,juan pulido santana,Laliga
2023-09-30T19:00:00Z,8,real sociedad,athletic,3,0,1,0,3,real sociedad,athletic,jesús gil manzano,Laliga
2023-10-01T12:00:00Z,8,almería,granada,3,3,3,0,0,draw,draw,pablo gonzález fuertes,Laliga
2023-10-01T14:15:00Z,8,alavés,osasuna,0,2,0,1,2,osasuna,alavés,jorge figueroa vázquez,Laliga
2023-10-01T19:00:00Z,8,atleti,cádiz cf,3,2,1,2,1,atleti,cádiz cf,javier iglesias villanueva,Laliga
2023-10-01T19:00:00Z,8,real betis,valencia,3,0,1,0,3,real betis,valencia,ricardo de burgos,Laliga
2023-10-02T19:00:00Z,8,las palmas,celta,2,1,0,0,1,las palmas,celta,javier alberola rojas,Laliga
2023-10-06T19:00:00Z,9,athletic,almería,3,0,1,0,3,athletic,almería,víctor garcía verdura,Laliga
2023-10-07T12:00:00Z,9,cádiz cf,girona,0,1,0,0,1,girona,cádiz cf,juan martínez munuera,Laliga
2023-10-07T14:15:00Z,9,real madrid,osasuna,4,0,1,0,4,real madrid,osasuna,guillermo cuadra fernández,Laliga
2023-10-07T16:30:00Z,9,mallorca,valencia,1,1,1,1,0,draw,draw,francisco hernández maeso,Laliga
2023-10-07T19:00:00Z,9,sevilla fc,rayo vallecano,2,2,0,2,0,draw,draw,isidro díaz de mera,Laliga
2023-10-08T12:00:00Z,9,villarreal,las palmas,1,2,0,1,1,las palmas,villarreal,alejandro muñiz ruiz,Laliga
2023-10-08T14:15:00Z,9,atleti,real sociedad,2,1,1,0,1,atleti,real sociedad,josé munuera montero,Laliga
2023-10-08T16:30:00Z,9,celta,getafe,2,2,2,2,0,draw,draw,josé sánchez martínez,Laliga
2023-10-08T16:30:00Z,9,alavés,real betis,1,1,1,1,0,draw,draw,alejandro hernández hernández,Laliga
2023-10-08T19:00:00Z,9,granada,barça,2,2,2,1,0,draw,draw,césar soto grado,Laliga
2023-10-20T19:00:00Z,10,osasuna,granada,2,0,1,0,2,osasuna,granada,mateo busquets ferrer,Laliga
2023-10-21T12:00:00Z,10,real sociedad,mallorca,1,0,0,0,1,real sociedad,mallorca,jorge figueroa vázquez,Laliga
2023-10-21T14:15:00Z,10,getafe,real betis,1,1,1,1,0,draw,draw,césar soto grado,Laliga
2023-10-21T16:30:00Z,10,sevilla fc,real madrid,1,1,0,0,0,draw,draw,ricardo de burgos,Laliga
2023-10-21T19:00:00Z,10,celta,atleti,0,3,0,1,3,atleti,celta,guillermo cuadra fernández,Laliga
2023-10-22T12:00:00Z,10,las palmas,rayo vallecano,0,1,0,0,1,rayo vallecano,las palmas,javier iglesias villanueva,Laliga
2023-10-22T14:15:00Z,10,girona,almería,5,2,3,2,3,girona,almería,miguel ortiz arias,Laliga
2023-10-22T16:30:00Z,10,villarreal,alavés,1,1,0,0,0,draw,draw,jesús gil manzano,Laliga
2023-10-22T19:00:00Z,10,barça,athletic,1,0,0,0,1,barça,athletic,juan martínez munuera,Laliga
2023-10-23T19:00:00Z,10,valencia,cádiz cf,2,0,2,0,2,valencia,cádiz cf,pablo gonzález fuertes,Laliga
2023-10-27T19:00:00Z,11,girona,celta,1,0,0,0,1,girona,celta,isidro díaz de mera,Laliga
2023-10-28T12:00:00Z,11,almería,las palmas,1,2,0,1,1,las palmas,almería,francisco hernández maeso,Laliga
2023-10-28T14:15:00Z,11,barça,real madrid,1,2,1,0,1,real madrid,barça,jesús gil manzano,Laliga
2023-10-28T16:30:00Z,11,mallorca,getafe,0,0,0,0,0,draw,draw,pablo gonzález fuertes,Laliga
2023-10-28T19:00:00Z,11,cádiz cf,sevilla fc,2,2,2,1,0,draw,draw,césar soto grado,Laliga
2023-10-29T13:00:00Z,11,real betis,osasuna,2,1,1,0,1,real betis,osasuna,josé sánchez martínez,Laliga
2023-10-29T15:15:00Z,11,rayo vallecano,real sociedad,2,2,1,1,0,draw,draw,mateo busquets ferrer,Laliga
2023-10-29T17:30:00Z,11,athletic,valencia,2,2,1,0,0,draw,draw,jorge figueroa vázquez,Laliga
2023-10-29T20:00:00Z,11,atleti,alavés,2,1,2,0,1,atleti,alavés,alejandro muñiz ruiz,Laliga
2023-10-30T20:00:00Z,11,granada,villarreal,2,3,2,3,1,villarreal,granada,javier iglesias villanueva,Laliga
2023-11-03T20:00:00Z,12,las palmas,atleti,2,1,0,0,1,las palmas,atleti,mario melero lópez,Laliga
2023-11-04T13:00:00Z,12,osasuna,girona,2,4,1,1,2,girona,osasuna,josé munuera montero,Laliga
2023-11-04T15:15:00Z,12,real betis,mallorca,2,0,1,0,2,real betis,mallorca,miguel ortiz arias,Laliga
2023-11-04T17:30:00Z,12,celta,sevilla fc,1,1,1,0,0,draw,draw,alejandro hernández hernández,Laliga
2023-11-04T20:00:00Z,12,real sociedad,barça,0,1,0,0,1,barça,real sociedad,javier alberola rojas,Laliga
2023-11-05T13:00:00Z,12,alavés,almería,1,0,0,0,1,alavés,almería,juan pulido santana,Laliga
2023-11-05T15:15:00Z,12,valencia,granada,1,0,1,0,1,valencia,granada,víctor garcía verdura,Laliga
2023-11-05T17:30:00Z,12,villarreal,athletic,2,3,0,3,1,athletic,villarreal,guillermo cuadra fernández,Laliga
2023-11-05T20:00:00Z,12,real madrid,rayo vallecano,0,0,0,0,0,draw,draw,juan martínez munuera,Laliga
2023-11-06T20:00:00Z,12,getafe,cádiz cf,1,0,0,0,1,getafe,cádiz cf,ricardo de burgos,Laliga
2023-11-10T20:00:00Z,13,athletic,celta,4,3,2,2,1,athletic,celta,juan pulido santana,Laliga
2023-11-11T13:00:00Z,13,rayo vallecano,girona,1,2,1,1,1,girona,rayo vallecano,pablo gonzález fuertes,Laliga
2023-11-11T15:15:00Z,13,almería,real sociedad,1,3,0,0,2,real sociedad,almería,isidro díaz de mera,Laliga
2023-11-11T17:30:00Z,13,osasuna,las palmas,1,1,0,0,0,draw,draw,jorge figueroa vázquez,Laliga
2023-11-11T17:30:00Z,13,granada,getafe,1,1,1,1,0,draw,draw,alejandro muñiz ruiz,Laliga
2023-11-11T20:00:00Z,13,real madrid,valencia,5,1,2,0,4,real madrid,valencia,josé sánchez martínez,Laliga
2023-11-12T15:15:00Z,13,barça,alavés,2,1,0,1,1,barça,alavés,mateo busquets ferrer,Laliga
2023-11-12T17:30:00Z,13,sevilla fc,real betis,1,1,0,0,0,draw,draw,jesús gil manzano,Laliga
2023-11-12T20:00:00Z,13,atleti,villarreal,3,1,1,1,2,atleti,villarreal,francisco hernández maeso,Laliga
2023-11-24T20:00:00Z,14,alavés,granada,3,1,2,0,2,alavés,granada,javier alberola rojas,Laliga
2023-11-25T13:00:00Z,14,rayo vallecano,barça,1,1,1,0,0,draw,draw,josé munuera montero,Laliga
2023-11-25T15:15:00Z,14,valencia,celta,0,0,0,0,0,draw,draw,césar soto grado,Laliga
2023-11-25T17:30:00Z,14,getafe,almería,2,1,2,1,1,getafe,almería,alejandro hernández hernández,Laliga
2023-11-25T20:00:00Z,14,atleti,mallorca,1,0,0,0,1,atleti,mallorca,juan martínez munuera,Laliga
2023-11-26T13:00:00Z,14,villarreal,osasuna,3,1,0,0,2,villarreal,osasuna,ricardo de burgos,Laliga
2023-11-26T15:15:00Z,14,real sociedad,sevilla fc,2,1,2,0,1,real sociedad,sevilla fc,miguel ortiz arias,Laliga
2023-11-26T17:30:00Z,14,cádiz cf,real madrid,0,3,0,1,3,real madrid,cádiz cf,guillermo cuadra fernández,Laliga
2023-11-26T20:00:00Z,14,real betis,las palmas,1,0,1,0,1,real betis,las palmas,víctor garcía verdura,Laliga
2023-11-27T20:00:00Z,14,girona,athletic,1,1,0,0,0,draw,draw,mario melero lópez,Laliga
2023-11-29T20:00:00Z,13,mallorca,cádiz cf,1,1,1,1,0,draw,draw,javier iglesias villanueva,Laliga
2023-12-01T20:00:00Z,15,las palmas,getafe,2,0,1,0,2,las palmas,getafe,mateo busquets ferrer,Laliga
2023-12-02T13:00:00Z,15,girona,valencia,2,1,0,0,1,girona,valencia,javier iglesias villanueva,Laliga
2023-12-02T15:15:00Z,15,athletic,rayo vallecano,4,0,1,0,4,athletic,rayo vallecano,francisco hernández maeso,Laliga
2023-12-02T17:30:00Z,15,real madrid,granada,2,0,1,0,2,real madrid,granada,pablo gonzález fuertes,Laliga
2023-12-02T20:00:00Z,15,osasuna,real sociedad,1,1,1,1,0,draw,draw,juan pulido santana,Laliga
2023-12-03T13:00:00Z,15,mallorca,alavés,0,0,0,0,0,draw,draw,jorge figueroa vázquez,Laliga
2023-12-03T15:15:00Z,15,almería,real betis,0,0,0,0,0,draw,draw,alejandro muñiz ruiz,Laliga
2023-12-03T17:30:00Z,15,sevilla fc,villarreal,1,1,0,0,0,draw,draw,isidro díaz de mera,Laliga
2023-12-03T20:00:00Z,15,barça,atleti,1,0,1,0,1,barça,atleti,josé sánchez martínez,Laliga
