date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-12-02T14:00:00Z,14,genoa,empoli,1,1,1,0,0,draw,draw,gianluca aureliano
2023-12-02T17:00:00Z,14,lazio,cagliari,1,0,1,0,1,lazio,cagliari,federico dionisi
2023-12-02T19:45:00Z,14,milan,frosinone,3,1,1,0,2,milan,frosinone,matteo marchetti
2023-12-03T11:30:00Z,14,lecce,bologna,1,1,0,0,0,draw,draw,daniele doveri
2023-12-03T14:00:00Z,14,fiorentina,salernitana,3,0,2,0,3,fiorentina,salernitana,paride tremolada
2023-12-03T14:00:00Z,14,udinese,verona,3,3,2,1,0,draw,draw,fabio maresca
2023-12-03T17:00:00Z,14,sassuolo,roma,1,2,1,0,1,roma,sassuolo,matteo marcenaro
2023-12-03T19:45:00Z,14,napoli,inter,0,3,0,1,3,inter,napoli,davide massa
2023-12-04T19:45:00Z,14,torino,atalanta,3,0,1,0,3,torino,atalanta,marco piccinini
2023-12-08T19:45:00Z,15,juventus,napoli,1,0,0,0,1,juventus,napoli,daniele orsato
2023-12-09T14:00:00Z,15,verona,lazio,1,1,0,1,0,draw,draw,giovanni ayroldi
2023-12-09T17:00:00Z,15,atalanta,milan,3,2,1,1,1,atalanta,milan,federico la penna
2023-12-09T19:45:00Z,15,inter,udinese,4,0,3,0,4,inter,udinese,marco di bello
2023-12-10T11:30:00Z,15,frosinone,torino,0,0,0,0,0,draw,draw,luca massimi
2023-12-10T14:00:00Z,15,monza,genoa,1,0,0,0,1,monza,genoa,giuseppe collu
2023-12-10T17:00:00Z,15,salernitana,bologna,1,2,0,2,1,bologna,salernitana,simone sozza
2023-12-10T19:45:00Z,15,roma,fiorentina,1,1,1,0,0,draw,draw,antonio rapuano
2023-12-11T17:30:00Z,15,empoli,lecce,1,1,0,0,0,draw,draw,andrea colombo
2023-12-11T19:45:00Z,15,cagliari,sassuolo,2,1,0,1,1,cagliari,sassuolo,maurizio mariani
2023-12-15T19:45:00Z,16,genoa,juventus,1,1,0,1,0,draw,draw,davide massa
2023-12-16T14:00:00Z,16,lecce,frosinone,2,1,1,1,1,lecce,frosinone,luca zufferli
2023-12-16T17:30:00Z,16,napoli,cagliari,2,1,0,0,1,napoli,cagliari,matteo marcenaro
2023-12-16T19:45:00Z,16,torino,empoli,1,0,1,0,1,torino,empoli,livio marinelli
2023-12-17T11:30:00Z,16,milan,monza,3,0,2,0,3,milan,monza,gianluca aureliano
2023-12-17T14:00:00Z,16,fiorentina,verona,1,0,0,0,1,fiorentina,verona,maria caputi
2023-12-17T14:00:00Z,16,udinese,sassuolo,2,2,1,0,0,draw,draw,gianluca manganiello
2023-12-17T17:00:00Z,16,bologna,roma,2,0,1,0,2,bologna,roma,marco guida
2023-12-17T19:45:00Z,16,lazio,inter,0,2,0,1,2,inter,lazio,fabio maresca
2023-12-18T19:45:00Z,16,atalanta,salernitana,4,1,0,1,3,atalanta,salernitana,ermanno feliciani
2023-12-22T17:30:00Z,17,sassuolo,genoa,1,2,1,0,1,genoa,sassuolo,marco guida
2023-12-22T17:30:00Z,17,empoli,lazio,0,2,0,1,2,lazio,empoli,matteo marchetti
2023-12-22T19:45:00Z,17,monza,fiorentina,0,1,0,1,1,fiorentina,monza,juan luca sacchi
