date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2024-02-17T17:30:00Z,22,rb leipzig,m'gladbach,2,0,1,0,2,rb leipzig,m'gladbach,sören storks
2024-02-18T14:30:00Z,22,freiburg,frankfurt,3,3,2,2,0,draw,draw,tobias stieler
2024-02-18T16:30:00Z,22,bochum,bayern,3,2,2,1,1,bochum,bayern,daniel schlager
2024-02-23T19:30:00Z,23,leverkusen,mainz,2,1,1,1,1,leverkusen,mainz,timo gerach
2024-02-24T14:30:00Z,23,stuttgart,1. fc köln,1,1,0,0,0,draw,draw,patrick ittrich
2024-02-24T14:30:00Z,23,union berlin,heidenheim,2,2,2,1,0,draw,draw,deniz aytekin
2024-02-24T14:30:00Z,23,bremen,darmstadt,1,1,1,1,0,draw,draw,florian badstübner
2024-02-24T14:40:00Z,23,m'gladbach,bochum,5,2,2,0,3,m'gladbach,bochum,frank willenborg
2024-02-24T17:30:00Z,23,bayern,rb leipzig,2,1,0,0,1,bayern,rb leipzig,sascha stegemann
2024-02-25T14:30:00Z,23,frankfurt,wolfsburg,2,2,1,2,0,draw,draw,daniel schlager
2024-02-25T16:30:00Z,23,dortmund,hoffenheim,2,3,2,1,1,hoffenheim,dortmund,marco fritz
2024-02-25T18:30:00Z,23,augsburg,freiburg,2,1,0,1,1,augsburg,freiburg,bastian dankert
2024-03-01T19:30:00Z,24,freiburg,bayern,2,2,1,1,0,draw,draw,sven jablonski
2024-03-02T14:30:00Z,24,union berlin,dortmund,0,2,0,1,2,dortmund,union berlin,christian dingert
2024-03-02T14:30:00Z,24,bochum,rb leipzig,1,4,1,1,3,rb leipzig,bochum,harm osmers
2024-03-02T14:30:00Z,24,heidenheim,frankfurt,1,2,0,1,1,frankfurt,heidenheim,sören storks
2024-03-02T14:30:00Z,24,mainz,m'gladbach,1,1,1,0,0,draw,draw,robert schröder
2024-03-02T14:30:00Z,24,darmstadt,augsburg,0,6,0,5,6,augsburg,darmstadt,felix zwayer
2024-03-02T17:30:00Z,24,wolfsburg,stuttgart,2,3,0,1,1,stuttgart,wolfsburg,benjamin brand
2024-03-03T14:30:00Z,24,1. fc köln,leverkusen,0,2,0,1,2,leverkusen,1. fc köln,tobias stieler
2024-03-03T16:30:00Z,24,hoffenheim,bremen,2,1,2,0,1,hoffenheim,bremen,matthias jöllenbeck
2024-03-08T19:30:00Z,25,stuttgart,union berlin,2,0,1,0,2,stuttgart,union berlin,robert schröder
2024-03-09T14:30:00Z,25,bayern,mainz,8,1,3,1,7,bayern,mainz,patrick ittrich
2024-03-09T14:30:00Z,25,m'gladbach,1. fc köln,3,3,1,1,0,draw,draw,felix zwayer
2024-03-09T14:30:00Z,25,augsburg,heidenheim,1,0,1,0,1,augsburg,heidenheim,tobias welz
2024-03-09T14:30:00Z,25,rb leipzig,darmstadt,2,0,1,0,2,rb leipzig,darmstadt,robert hartmann
2024-03-09T17:30:00Z,25,bremen,dortmund,1,2,0,2,1,dortmund,bremen,deniz aytekin
2024-03-10T14:30:00Z,25,bochum,freiburg,1,2,0,1,1,freiburg,bochum,marco fritz
2024-03-10T16:30:00Z,25,frankfurt,hoffenheim,3,1,1,1,2,frankfurt,hoffenheim,bastian dankert
2024-03-10T18:30:00Z,25,leverkusen,wolfsburg,2,0,1,0,2,leverkusen,wolfsburg,daniel siebert
2024-03-15T19:30:00Z,26,1. fc köln,rb leipzig,1,5,1,1,4,rb leipzig,1. fc köln,florian badstübner
2024-03-16T14:30:00Z,26,darmstadt,bayern,2,5,1,2,3,bayern,darmstadt,tobias reichel
2024-03-16T14:30:00Z,26,heidenheim,m'gladbach,1,1,0,1,0,draw,draw,martin petersen
2024-03-16T14:30:00Z,26,union berlin,bremen,2,1,0,0,1,union berlin,bremen,daniel schlager
2024-03-16T14:30:00Z,26,mainz,bochum,2,0,1,0,2,mainz,bochum,matthias jöllenbeck
2024-03-16T14:30:00Z,26,wolfsburg,augsburg,1,3,1,1,2,augsburg,wolfsburg,timo gerach
2024-03-16T17:30:00Z,26,hoffenheim,stuttgart,0,3,0,2,3,stuttgart,hoffenheim,sascha stegemann
2024-03-17T14:30:00Z,26,freiburg,leverkusen,2,3,1,2,1,leverkusen,freiburg,harm osmers
2024-03-17T16:30:00Z,26,dortmund,frankfurt,3,1,1,1,2,dortmund,frankfurt,tobias stieler
2024-03-30T14:30:00Z,27,frankfurt,union berlin,0,0,0,0,0,draw,draw,marco fritz
2024-03-30T14:30:00Z,27,m'gladbach,freiburg,0,3,0,1,3,freiburg,m'gladbach,christian dingert
2024-03-30T14:30:00Z,27,bremen,wolfsburg,0,2,0,1,2,wolfsburg,bremen,sascha stegemann
2024-03-30T14:30:00Z,27,rb leipzig,mainz,0,0,0,0,0,draw,draw,frank willenborg
2024-03-30T14:30:00Z,27,leverkusen,hoffenheim,2,1,0,1,1,leverkusen,hoffenheim,deniz aytekin
2024-03-30T17:30:00Z,27,bayern,dortmund,0,2,0,1,2,dortmund,bayern,harm osmers
2024-03-31T13:30:00Z,27,augsburg,1. fc köln,1,1,1,1,0,draw,draw,sören storks
2024-03-31T15:30:00Z,27,stuttgart,heidenheim,3,3,1,0,0,draw,draw,felix zwayer
